Box,Date,Trial,Sex,Time to touch box (min),Time to touch puzzle (min),Time interacting with puzzle (min),Time to solve from start (Min),Solved 1 or 0
HG1,June_06_2023,0.5,M,N/A,27,1,27,1
HG1,June_06_2023,0.5,F,N/A,N/A,N/A,N/A,N/A
HG1,June_06_2023,1,M,5,5,1,N/A,0
HG1,June_06_2023,1,F,6,6,1,N/A,0
HG1,June_07_2023,2,M,13,13,1,N/A,0
HG1,June_07_2023,2,F,20,20,1,N/A,0
HG1,June_07_2023,3,F,6,,,,
HG1,June_07_2023,3,M,,,,,
HG1,June_07_2023,4,M,N/A,30,1,30,1
HG1,June_07_2023,4,F,N/A,N/A,N/A,N/A,N/A
HG1,June_07_2023,5,F,N/A,3,1,N/A,N/A
HG1,June_07_2023,5,M,N/A,3,2,4,1
HG2,,0.5,F,30,30,1,30,1
HG2,,0.5,M,N/A,N/A,N/A,N/A,N/A
HG2,,1,F,N/A,2,3,N/A,0
HG2,,1,M,25,26,6,N/A,0
HG2,,2,M,1,4,3,N/A,0
HG2,,2,F,11,22,1,N/A,0
HG2,,3,F,N/A,1,9,N/A,0
HG2,,3,M,7,7,3,N/A,0
HG2,,4,F,3,N/A,N/A,N/A,0
HG2,,4,M,7,7,5,N/A,0
HG2,,5,F,1,10,6,N/A,0
HG2,,5,M,27,27,1,N/A,0
HG4,,0.5,M,23,23,1,23,1
HG4,,0.5,F,N/A,N/A,N/A,N/A,0
HG4,,1,F,33,32,3,N/A,N/A
HG4,,1,M,34,34,3,36,1
HG4,,2,F,21,N/A,N/A,N/A,N/A
HG4,,2,M,23,26,1,26,1
HG4,,3,F,1,1,3,5,1
HG4,,3,M,3,3,3,N/A,N/A
HG4,,4,F,N/A,22,2,N/A,0
HG4,,4,M,37,37,1,N/A,0
HG4,,5,F,22,N/A,N/A,N/A,0
HG4,,5,M,N/A,N/A,N/A,N/A,0
LL10,,0.5,F,N/A,3,3,5,1
LL10,,0.5,M,4,N/A,N/A,N/A,N/A
LL10,,1,F,1,1,3,3,1
LL10,,1,M,N/A,2,1,N/A,N/A
LL10,,2,M,4,4,3,6,1
LL10,,2,F,N/A,N/A,N/A,N/A,N/A
LL10,,3,M,N/A,13,2,14,1
LL10,,3,F,N/A,N/A,N/A,N/A,N/A
LL10,,4,F,5,4,3,10,1
LL10,,4,M,N/A,N/A,N/A,N/A,N/A
LL10,,5,F,8,8,1,N/A,N/A
LL10,,5,M,9,9,2,10,1
LL2,,0.5,M,N/A,24,3,N/A,N/A
LL2,,0.5,F,N/A,26,1,26,1
LL2,,1,M,3,0,4,N/A,N/A
LL2,,1,F,5,5,3,31,1
LL2,,2,F,13,13,3,41,1
LL2,,2,M,16,15,3,N/A,N/A
LL2,,3,F,N/A,32,2,33,1
LL2,,3,M,N/A,N/A,N/A,N/A,N/A
LL2,,4,F,20,2,6,N/A,0
LL2,,4,M,21,21,6,N/A,0
LL2,,5,F,N/A,25,2,N/A,0
LL2,,5,M,N/A,N/A,N/A,N/A,0
LL3,,0.5,F,N/A,7,1,N/A,0
LL3,,0.5,M,N/A,N/A,N/A,N/A,0
LL3,,1,F,N/A,33,2,N/A,0
LL3,,1,M,N/A,38,1,N/A,0
LL3,,2,,,,,,
LL3,,2,,,,,,
LL3,,3,,,,,,
LL3,,3,,,,,,
LL3,,4,,,,,,
LL3,,4,,,,,,
LL3,,5,,,,,,
LL3,,5,,,,,,
LL5,,0.5,F,N/A,11,2,14,1
LL5,,0.5,M,N/A,N/A,N/A,N/A,N/A
LL5,,1,F,14,17,3,N/A,0
LL5,,1,M,N/A,N/A,N/A,N/A,0
LL5,,2,F,29,30,3,35,1
LL5,,2,M,N/A,N/A,N/A,N/A,N/A
LL5,,3,F,22,23,1,N/A,0
LL5,,3,M,N/A,N/A,N/A,N/A,0
LL5,,4,F,2,2,2,3,1
LL5,,4,M,N/A,N/A,N/A,N/A,N/A
