Common_name	Year	Site	PossibleAnimals	PossibleSites
Leopard	2021	SiteA	Lion	SiteA
Elephant	2020	SiteB	Leopard	SiteB
Wildebeest	2021	SiteB	Cheeta	
Elephant	2021	SiteA	Rhino	
Cheeta	2023	SiteB	Elephant	
Hyena	2020	SiteB	Hippo	
Baboon	2023	SiteB	Wildebeest	
Gorilla	2020	SiteA	Gorilla	
Hippo	2021	SiteB	Buffalo	
Gorilla	2020	SiteB	Crocodile	
Leopard	2021	SiteB	Zebra	
Crocodile	2020	SiteA	Baboon	
Wildebeest	2023	Siteb	Hyena	
Wildebeest	2021	SiteA		
Elephant	2023	SiteB		
Zebra	2023	SiteB		
Lion	2022	SiteA		
Wildebeast	2020	SiteB		
Cheeta	2022	SiteB		
Hyena	2021	SiteB		
Cheeta	2022	SiteA		
Baboon	2022	SiteB		
Wildebeest	2021	SiteB		
Hyena	2023	SiteB		
Buffalo	2022	SiteB		
Crocodile	2020	SiteA		
Lion	2021	SiteB		
Crocodile	2023	SiteA		
Wildebeast	2022	SiteA		
Elephant	2022	SiteB		
Gorilla	2022	SiteB		
Lion	2023	SiteB		
Buffalo	2023	SiteB		
Baboon	2023	SiteA		
Wildebeest	2022	SiteB		
Hippo	2020	SiteB		
Cheeta	2022	SiteA		
Elephant	2020	SiteB		
Cheeta	2021	SiteB		
Cheeta	2022	SiteB		
Lion	2021	SiteB		
Hyena	2022	SiteB		
Elephant	2022	SiteB		
Cheeta	2020	SiteB		
Leopard	2021	SiteA		
Gorilla	2023	SiteB		
Cheeta	2022	SiteB		
Crocodile	2021	SiteA		
Hyena	2021	SiteB		
Wildebeest	2023	SiteB		
Lion	2023	SiteA		
Lion	2023	SiteB		
Gorilla	2023	SiteA		
Crocodile	2022	SiteA		
Hippo	2021	SiteB		
Cheeta	2021	SiteB		
Baboon	2022	SiteB		
Leopard	2023	SiteB		
Crocodile	2023	SiteB		
Cheeta	2022	SiteB		
Rhino	2021	SiteA		
Hyena	2022	SiteB		
Rhino	2020	SiteB		
Cheeta	2023	SiteB		
Elephant	2020	SiteA		
Leopard	2020	SiteA		
Buffalo	2022	SiteA		
Hyena	2020	SiteA		
Buffalo	2020	SiteB		
Cheeta	2020	SiteA		
Cheeta	2021	SiteB		
Lion	2020	SiteB		
Buffalo	2022	SiteA		
Lion	2022	SiteB		
Hyena	2023	SiteA		
Gorilla	2020	SiteA		
Hippo	2020	SiteB		
Crocodile	2020	SiteB		
Hippo	2022	SiteB		
Gorilla	2020	SiteB		
Hippo	2020	SiteA		
Baboon	2021	SiteA		
Elephant	2022	SiteB		
Zebra	2022	SiteA		
Leopard	2021	SiteB		
Gorilla	2020	SiteB		
Gorilla	2023	SiteB		
Zebra	2021	SiteB		
Elephant	2020	SiteB		
Wildebeest	2021	SiteB		
Leopard	2020	SiteA		
Wildebeest	2022	SiteB		
Leopard	2021	SiteB		
