"Trial","Date","Weather","Temp","TOD"
10,"8.10.21","Sunny",61,"8:55 AM"
14,"8.11.21","Sunny",63,"8:52am"
17,"8.11.21","Sunny",72,"10:02am"
18,"8/12/2021","Sunny",70,"8:01"
19,"8/12/2021","Sunny",68,"8:23"
22,"8/12/2021","Sunny",72,"10:08"
23,"8.14.21","Smoky",63,"8:36 AM"
24,"8/14/2021","Cloudy",63,"8:58"
25,"8/14/2021","Cloudy",64,"9:42"
26,"8.14.21","Slightly Cloudy",64,"11:04 AM"
28,"8/15/2021","Cloudy (smoke)",61,"9:10"
29,"8/15/2021","Cloudy (smoke)",61,"9:29"
30,"8/15/2021","Cloudy (smoke)",63,"9:54"
31,"8/15/2021","Cloudy (smoke)",63,"10:39"
32,"8/16/2021","Cloudy",61,"8:07"
33,"8/16/2021","Cloudy",61,"8:25"
34,"8/16/2021","Cloudy",61,"8:48"
36,"8/16/2021","Cloudy",63,"9:56"
38,"8/16/2021","Cloudy",63,"11:25"
7,"8/5/2021","Sunny",64,"9:04"
8,"8/10/2021","Sunny",61,"8:08"
101,"7/18/2023","Sunny",63,"9:08"
103,"7/18/2023","Sunny",66,"10:21"
105,"7/18/2023","Sunny",66,"11:26"
106,"7/19/2023","Sunny",64,"9:08"
107,"7/19/2023","Sunny",67,"10:01"
111,"7/20/2023","Sunny",63,"8:46"
112,"7/20/2023","Sunny",65,"9:15"
113,"7/20/2023","Sunny",66,"9:50"
114,"7/20/2023","Sunny",68,"10:26"
116,"7/20/2023","Sunny",73,"11:46"
117,"7/20/2023","Sunny",76,"12:49"
118,"7/27/2023","Sunny",62,"9:13"
119,"7/27/2023","Sunny",63,"9:44"
122,"7/27/2023","Sunny",70,"12:05"
123,"7/27/2023","Sunny",71,"12:40"
124,"8/4/2023","Sunny",65,"8:57"
125,"8/4/2023","Sunny",65,"9:12"
127,"8/4/2023","Sunny",69,"11:10"
128,"8/4/2023","Sunny",72,"12:06"
1,"7/21/2021","Cloudy",61,"11:50"
35,"8/16/2021","Cloudy",61,"9:10"
39,"8/17/2021","Cloudy",57,"8:57"
40,"8/17/2021","Cloudy",59,"10:11"
41,"8/17/2021","Cloudy",59,"11:39"
27,"8/14/2021","Sunny",66,"11:55"
