"X","Y","Animal","Trial"
1989.2373,1363.138298,1,10
1989.2373,1363.138298,1,10
1981.806241,1372.329787,1,10
1959.513062,1384.585106,1,10
1948.366473,1387.648936,1,10
1933.504354,1393.776596,1,10
1933.9,1394.06,1,10
1927.06,1398.03,1,10
1922.357765,1406.031915,1,10
1921.93,1406.04,1,10
1922.357765,1418.287234,1,10
1921.99,1418.13,1,10
1918.09,1418.53,1,10
1896.349057,1418.287234,1,10
1895.91,1418,1,10
1892.93,1419.2,1,10
1892.89,1419.26,1,10
1891.81,1416.83,1,10
1887.64,1419.9,1,10
1887.2,1419.98,1,10
1883.15,1419.74,1,10
1882.5,1419.66,1,10
1880.17,1416.49,1,10
1859.193759,1418.287234,1,10
1858.75,1417.9,1,10
1859.02,1417.99,1,10
1859.13,1418.04,1,10
1859.28,1417.93,1,10
1859.31,1417.96,1,10
1859.31,1417.96,1,10
1859.14,1417.85,1,10
1859.14,1417.85,1,10
1859.14,1417.96,1,10
1859,1417.81,1,10
1796.029753,1445.861702,1,10
1781.167634,1436.670213,1,10
1773.736575,1430.542553,1,10
1770.021045,1430.542553,1,10
1781.167634,1448.925532,1,10
1784.883164,1458.117021,1,10
1779.46,1469.1,1,10
1773.01,1478.46,1,10
1784.883164,1458.117021,1,10
1777.452104,1461.180851,1,10
1776.96,1460.93,1,10
1772.68,1458.43,1,10
1772.26,1458.57,1,10
1777.09,1450.7,1,10
1777.26,1447.07,1,10
1755.158926,1442.797872,1,10
1754.93,1443.26,1,10
1755.158926,1439.734043,1,10
1747.727866,1436.670213,1,10
1736.581277,1436.670213,1,10
1736.94,1436.91,1,10
1737.35,1436.97,1,10
1737.4,1436.98,1,10
1736.581277,1427.478723,1,10
1734.78,1426.42,1,10
1734.91,1426.71,1,10
1733.72,1423.86,1,10
1733.86,1423.86,1,10
1731.95,1421.46,1,10
1727.83,1422.01,1,10
1728,1421.98,1,10
1726.56,1422.91,1,10
1726.35,1422.86,1,10
1723.46,1421.6,1,10
1722.63,1418.71,1,10
1722.76,1418.8,1,10
1721.82,1416,1,10
1721.91,1416.11,1,10
1719.74,1416.46,1,10
1718.003628,1399.904255,1,10
1717.83,1400,1,10
1691.99492,1366.202128,1,10
1688.27939,1357.010638,1,10
1636.261974,1350.882979,1,10
1617.684325,1347.819149,1,10
1617.684325,1353.946809,1,10
1625.115385,1357.010638,1,10
1625.115385,1357.010638,1,10
1632.546444,1357.010638,1,10
1633.01,1356.94,1,10
1633.02,1356.95,1,10
1633.1,1356.97,1,10
1633.1,1356.97,1,10
1632.546444,1350.882979,1,10
1628.830914,1350.882979,1,10
1628.72,1350.22,1,10
1628.45,1349.98,1,10
1628.45,1349.98,1,10
1628.57,1349.97,1,10
1628.67,1350.14,1,10
1628.67,1350.14,1,10
1628.68,1350.22,1,10
1628.68,1350.22,1,10
1628.81,1350.56,1,10
1628.89,1351.07,1,10
1629.19,1351.94,1,10
1629.39,1352.95,1,10
1629.87,1354.1,1,10
1599.106676,1341.691489,1,10
1573.87,1326.01,1,10
1584.244557,1329.43617,1,10
1584.64,1329.19,1,10
1584.65,1329.19,1,10
1584.8,1330.53,1,10
1584.91,1331.71,1,10
1584.99,1332.7,1,10
1582.1,1332.26,1,10
1573.097968,1307.989362,1,10
1569.382438,1292.670213,1,10
1559.03,1279.71,1,10
1565.666909,1289.606383,1,10
1560.08,1288.71,1,10
1559.97,1288.87,1,10
1558.91,1289.65,1,10
1558.36,1287.98,1,10
1558.15,1287.49,1,10
1557.61,1286.04,1,10
1557.11,1285.62,1,10
1557.23,1285.48,1,10
1554.3,1285.21,1,10
1553.88,1285.19,1,10
1550.80479,1255.904255,1,10
1550.80479,1255.904255,1,10
1498.787373,1271.223404,1,10
1435.623367,1283.478723,1,10
1424.476778,1286.542553,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1274.287234,1,10
1420.761248,1271.223404,1,10
1420.761248,1252.840426,1,10
1420.761248,1252.840426,1,10
1420.761248,1252.840426,1,10
1420.761248,1252.840426,1,10
1409.614659,1249.776596,1,10
1409.614659,1249.776596,1,10
1398.46807,1243.648936,1,10
1398.46807,1243.648936,1,10
1383.605951,1234.457447,1,10
1383.92,1233.96,1,10
1379.18,1228.24,1,10
1372.459361,1219.138298,1,10
1371.87,1218.93,1,10
1365.028302,1209.946809,1,10
1364.86,1209.93,1,10
1346.450653,1194.62766,1,10
1339.019594,1188.5,1,10
1338.89,1187.98,1,10
1320.441945,1170.117021,1,10
1309.84,1161.64,1,10
1305.579826,1157.861702,1,10
1294.433237,1157.861702,1,10
1293.89,1157.98,1,10
1275.855588,1151.734043,1,10
1275.81,1151.93,1,10
1253.562409,1142.542553,1,10
1238.46,1136.85,1,10
1231.269231,1136.414894,1,10
2250.47,1204.64,2,10
2215.884615,1188.5,2,10
2199.9,1176.4,2,10
2141.57402,1182.37234,2,10
2078.410015,1142.542553,2,10
2078.410015,1142.542553,2,10
2044.970247,1118.031915,2,10
2044.970247,1127.223404,2,10
2044.89,1127.17,2,10
2049.12,1131.45,2,10
2049.62,1132.41,2,10
2037.539187,1121.095745,2,10
2022.677068,1102.712766,2,10
2022.677068,1099.648936,2,10
2011.530479,1093.521277,2,10
2011.91,1093.82,2,10
2007.46,1090.78,2,10
1999.41,1087.11,2,10
1992.95283,1084.329787,2,10
1981.9,1082.29,2,10
1981.04,1082.11,2,10
1977.55,1076.69,2,10
1966.944122,1069.010638,2,10
1966.98,1068.95,2,10
1966.944122,1056.755319,2,10
1966.99,1056.99,2,10
1959.513062,1053.691489,2,10
1952,1046.66,2,10
1950.34,1045.07,2,10
1951.13,1047.53,2,10
1951.34,1047.78,2,10
1950.82,1048.84,2,10
1954.2,1046.9,2,10
1955.62,1046.87,2,10
1944.650943,1044.5,2,10
1944.91,1043.98,2,10
1932,1037.16,2,10
1921.98,1031.23,2,10
1909.64,1026.98,2,10
1866.624819,1019.989362,2,10
1851.7627,1019.989362,2,10
1855.478229,1032.244681,2,10
1855.478229,1041.43617,2,10
1855.12,1041,2,10
1853.12,1040.65,2,10
1851.97,1041.09,2,10
1848.04717,1032.244681,2,10
1847.18,1030.28,2,10
1855.478229,1029.180851,2,10
1862.909289,1013.861702,2,10
1863.07,1013.82,2,10
1862.909289,1010.797872,2,10
1848.04717,1001.606383,2,10
1848.03,1001.86,2,10
1836.900581,992.414894,2,10
1836.94,991.71,2,10
1822.038462,977.095745,2,10
1812.18,965.41,2,10
1807.176343,967.904255,2,10
1796.029753,946.457447,2,10
1788.598694,937.265957,2,10
1777.452104,931.138298,2,10
1765.82,917.07,2,10
1766.305515,915.819149,2,10
1766.305515,915.819149,2,10
1751.443396,906.62766,2,10
1732.865747,891.308511,2,10
1703.141509,875.989362,2,10
1695.71045,869.861702,2,10
1684.563861,863.734043,2,10
1684.563861,863.734043,2,10
1684.563861,863.734043,2,10
1647.408563,848.414894,2,10
1647.408563,848.414894,2,10
1632.546444,845.351064,2,10
1617.684325,848.414894,2,10
1610.253266,845.351064,2,10
1601.4,842.53,2,10
1590.87,845.7,2,10
1569.382438,826.968085,2,10
1558.235849,820.840426,2,10
