Jabalpur_res,1960-01-20,1976-01-20,none
Furl_1_to,1963-01-01,1963-01-21,none
Madison_res,1963-01-20,1964-01-01,none
Landour_res,1964-01-03,1978-01-20,none
Kanha_67,1967-01-01,1967-01-06,none
Furl_2_to,1968-01-01,1968-01-04,none
Furl_2_from,1969-01-01,1969-01-03,none
Bombay_res,1970-01-15,1972-01-20,none
Furl_3_to,1972-01-01,1972-01-04,none
AnnArb_res,1972-01-01,1973-01-30,none
Pune_res,1976-01-20,1978-01-20,none
Europe_78,1978-01-01,1978-01-20,none
Wlmsbg_res,1978-01-01,1991-01-20,none
India_80,1980-01-01,1980-01-20,none
Rural_VA,1982-01-01,2016-01-01,none
Durham_res,1982-01-01,2016-01-02,none
Rural_NC_rec,1982-01-01,2016-01-03,none
Beaufort_rec,1984-01-01,2016-01-04,none
FL_85,1985-01-01,1983-01-07,none
Maine_85,1985-01-10,1985-01-20,none
Jordan_rec,1985-01-01,2017-01-31,none
Pisgah_85,1985-01-01,1985-01-04,none
Uwhar_86,1986-01-01,1986-01-04,none
Ontar_86,1986-01-01,1986-01-10,none
India_87,1987-01-01,1987-01-20,none
Bloom_res,1987-01-01,1990-01-30,none
WoodsH_rec,1989-01-10,2017-01-09,none
Mass_89,1989-01-01,1989-01-10,none
FraSco_90,1990-01-05,1990-01-18,none
Seattle_res,1990-01-15,1992-01-20,none
FriHarb_res,1990-01-21,1992-01-21,none
OlympP_90,1990-01-01,1990-01-17,none
Vanc_Is_91,1991-01-01,1991-01-10,none
MtRan_91,1991-01-10,1991-01-10,none
Carp_91,1991-01-22,1991-01-27,none
Nashv_res,1992-01-30,1993-01-01,none
StonBr_res,1993-01-15,1999-01-01,none
Brooklyn_94,1994-01-10,1994-01-10,none
FHL_sum,1994-01-10,2003-01-19,none
Bodega_95,1995-01-01,1995-01-04,none
PuntaC_95,1995-01-15,1995-01-22,none
Montauk_96,1996-01-01,1996-01-01,none
Tucson_98,1998-01-10,1998-01-14,none
USVI_99,1999-01-15,1999-01-21,none
Lansing_rec,1999-01-01,2014-01-24,none
Tokyo_99,1999-01-06,1999-01-12,none
ChapH_res,2000-01-01,2012-01-31,none
Dunedin_00,2000-01-29,2000-01-04,none
Chile_02,2002-01-23,2002-01-28,none
Ashev_rec,2002-01-01,2019-01-03,none
Ocrac_02,2002-01-07,2003-01-15,none
Sanibel_04,2003-01-27,2004-01-04,none
Ithaca_rec,2004-01-12,2004-01-14,none
Ocrac_04,2004-01-01,2004-01-08,none
SantaCz_04,2004-01-15,2004-01-02,none
Ocrac_05,2005-01-01,2005-01-08,none
Oxford_05,2005-01-20,2005-01-26,none
OTS_05,2005-01-30,2005-01-05,none
CollSt_06,2006-01-08,2006-01-10,none
Normandy_06,2006-01-24,2006-01-05,none
YoungHar_06,2006-01-07,2006-01-09,none
Davis_06,2006-01-24,2006-01-26,none
Syd_90,1990-01-02,1990-01-10,none
FallsCh_res,1968-01-15,1969-01-15,none
BobLo_68,1968-01-15,1968-01-15,none
Lausanne_06,2006-01-03,2006-01-07,none
SanDiego_06,2006-01-31,2006-01-02,none
Gainesv_06,2006-01-21,2006-01-25,none
Beauf_07,2007-01-04,2007-01-06,none
Tallahass_07,2007-01-21,2007-01-23,none
OTS_07,2007-01-25,2007-01-01,none
Barbados_07,2007-01-08,2007-01-15,none
Easley_rec,2006-01-28,2016-01-21,none
Stockh_98,1998-01-15,1998-01-19,none
WashDC_rec,1995-01-10,2017-01-05,none
Alta_07,2007-01-06,2007-01-08,none
Kenya_07,2007-01-12,2007-01-26,none
Newport_07,2007-01-08,2007-01-13,none
Hinxton_07,2007-01-29,2007-01-03,none
Sunset_07,2007-01-19,2007-01-21,none
Lincoln_08,2008-01-20,2008-01-22,none
OTS_08,2008-01-06,2008-01-12,none
Barcoding_08,2008-01-03,2008-01-12,none
Ocrac_08,2008-01-28,2008-01-05,none
Altenberg_08,2008-01-09,2008-01-18,none
VT_reun_08,2008-01-28,2008-01-31,none
Kobe_08,2008-01-28,2008-01-03,none
Sunset_08,2008-01-31,2008-01-02,none
IEC_09,2009-01-03,2009-01-10,none
Barcelona_09,2009-01-19,2009-01-22,none
Iowa_09,2009-01-03,2009-01-05,none
